,no,city,district,url
237,7,雲林縣,林內鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001000000000.html
238,7,雲林縣,二崙鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001100000000.html
239,7,雲林縣,崙背鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001200000000.html
240,7,雲林縣,麥寮鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001300000000.html
241,7,雲林縣,東勢鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001400000000.html
242,7,雲林縣,褒忠鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001500000000.html
243,7,雲林縣,臺西鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001600000000.html
244,7,雲林縣,元長鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001700000000.html
245,7,雲林縣,四湖鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001800000000.html
246,7,雲林縣,口湖鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009001900000000.html
247,7,雲林縣,水林鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009002000000000.html
248,7,嘉義縣,太保市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000100000000.html
249,7,嘉義縣,朴子市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000200000000.html
250,7,嘉義縣,布袋鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000300000000.html
251,7,嘉義縣,大林鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000400000000.html
252,7,嘉義縣,民雄鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000500000000.html
253,7,嘉義縣,溪口鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000600000000.html
254,7,嘉義縣,新港鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000700000000.html
255,7,嘉義縣,六腳鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000800000000.html
256,7,嘉義縣,東石鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010000900000000.html
257,7,嘉義縣,義竹鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001000000000.html
258,7,嘉義縣,鹿草鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001100000000.html
259,7,嘉義縣,水上鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001200000000.html
260,7,嘉義縣,中埔鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001300000000.html
261,7,嘉義縣,竹崎鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001400000000.html
262,7,嘉義縣,梅山鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10010001500000000.html
